
============================================================start trainning: bert
Epoch: 1/10, Step: 10, Train Loss: 0.689530, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 20, Train Loss: 0.716103, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 30, Train Loss: 0.750589, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 40, Train Loss: 0.650635, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 50, Train Loss: 0.653392, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 60, Train Loss: 0.679407, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 70, Train Loss: 0.704589, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 80, Train Loss: 0.651023, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 90, Train Loss: 0.675767, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 100, Train Loss: 0.755790, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 110, Train Loss: 0.645654, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 120, Train Loss: 0.666166, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 130, Train Loss: 0.709985, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 140, Train Loss: 0.666226, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 150, Train Loss: 0.711327, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 160, Train Loss: 0.712711, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 170, Train Loss: 0.719808, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 180, Train Loss: 0.701878, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 190, Train Loss: 0.663265, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 200, Train Loss: 0.704425, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 210, Train Loss: 0.715618, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 220, Train Loss: 0.694160, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 230, Train Loss: 0.685905, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 240, Train Loss: 0.681906, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 250, Train Loss: 0.704245, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 260, Train Loss: 0.699917, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 270, Train Loss: 0.660817, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 280, Train Loss: 0.703998, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 290, Train Loss: 0.685494, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 300, Train Loss: 0.700256, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 310, Train Loss: 0.749883, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 320, Train Loss: 0.644101, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 330, Train Loss: 0.655319, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 340, Train Loss: 0.702061, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 350, Train Loss: 0.706456, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 360, Train Loss: 0.692851, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 370, Train Loss: 0.673336, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 380, Train Loss: 0.690250, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 390, Train Loss: 0.711844, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 400, Train Loss: 0.650722, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 410, Train Loss: 0.709240, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 420, Train Loss: 0.683982, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 430, Train Loss: 0.678965, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 440, Train Loss: 0.664240, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 450, Train Loss: 0.659692, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 460, Train Loss: 0.706651, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 470, Train Loss: 0.754929, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 480, Train Loss: 0.733323, Val Loss: 0.693649, Lr: 2e-05
Epoch: 1/10, Step: 490, Train Loss: 0.708930, Val Loss: 0.693649, Lr: 2e-05
